NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
22	76.671	103.866	13.399	68.611	0.987	0.605	20000.0
23	77.281	105.238	13.518	68.823	0.998	0.608	30000.0
24	76.177	103.93	12.904	67.876	0.992	0.613	30000.0
25	76.431	104.565	13.266	68.564	0.989	0.611	30000.0
26	76.737	104.347	13.404	69.038	0.994	0.6	30000.0
27	76.145	104.084	13.232	68.863	0.99	0.603	30000.0
28	75.96	103.384	13.22	68.306	0.982	0.611	30000.0
29	76.104	103.519	13.179	68.453	0.984	0.606	20000.0
30	76.901	104.391	13.446	68.428	0.988	0.615	20000.0
31	76.638	103.66	13.418	68.846	0.982	0.603	20000.0
32	76.31	103.932	13.242	68.823	0.989	0.605	40000.0
33	76.419	103.891	13.362	68.731	0.99	0.604	20000.0
34	76.298	103.773	13.388	68.559	0.985	0.608	40000.0
35	76.28	102.858	13.192	67.98	0.981	0.61	50000.0
36	76.212	103.629	13.251	68.731	0.983	0.603	20000.0
37	76.735	104.582	13.39	68.504	0.991	0.612	20000.0
38	76.479	104.058	13.401	68.823	0.988	0.603	30000.0
39	76.414	103.933	13.389	68.73	0.991	0.603	40000.0
40	76.593	103.865	13.392	68.556	0.984	0.608	40000.0
41	76.652	103.812	13.408	68.785	0.985	0.605	50000.0
42	76.47	104.181	13.322	68.325	0.987	0.613	20000.0
43	76.927	104.786	13.401	68.639	0.993	0.611	30000.0
44	76.085	103.602	13.25	68.33	0.981	0.61	30000.0
45	76.679	104.26	13.498	69.016	0.992	0.601	60000.0
46	76.537	104.473	13.28	68.988	0.989	0.601	20000.0
47	76.907	104.536	13.433	68.951	0.994	0.601	30000.0
48	76.343	103.742	13.295	68.669	0.983	0.606	20000.0
49	76.75	103.885	13.429	68.887	0.985	0.602	30000.0
50	76.532	103.685	13.392	68.635	0.985	0.607	30000.0
51	76.23	103.771	13.251	68.545	0.988	0.607	20000.0
52	76.355	103.945	13.267	68.592	0.989	0.604	40000.0
53	76.764	104.209	13.447	68.564	0.989	0.609	20000.0
54	76.181	103.658	13.29	68.442	0.983	0.608	30000.0
55	76.225	103.772	13.266	68.792	0.988	0.603	20000.0
56	76.373	103.845	13.273	68.903	0.986	0.6	40000.0
57	76.356	103.851	13.236	68.756	0.987	0.603	60000.0
58	76.524	104.166	13.414	68.948	0.99	0.603	30000.0
59	76.229	103.643	13.374	68.547	0.983	0.608	40000.0
60	76.36	104.23	13.253	68.931	0.992	0.601	40000.0
61	76.263	103.834	13.276	68.624	0.992	0.605	30000.0
62	76.263	104.052	13.29	68.857	0.987	0.604	50000.0
63	75.758	103.893	13.203	68.703	0.984	0.606	40000.0
64	76.22	104.006	12.985	67.837	0.99	0.616	30000.0
65	76.534	103.359	13.401	68.455	0.979	0.608	30000.0
66	76.218	103.146	13.25	68.286	0.977	0.607	50000.0
67	76.582	104.553	13.366	68.781	0.994	0.607	30000.0
68	76.35	103.735	13.268	68.585	0.985	0.606	30000.0
69	76.532	103.968	13.51	68.71	0.987	0.605	20000.0
70	76.952	104.868	13.393	68.718	0.995	0.608	20000.0
71	75.994	103.444	13.163	68.4	0.979	0.61	20000.0
72	76.018	102.41	13.216	68.006	0.977	0.612	30000.0
73	75.992	103.447	13.226	68.404	0.979	0.607	20000.0
74	76.459	104.138	13.019	68.075	0.994	0.613	30000.0
75	76.543	104.277	13.426	68.422	0.987	0.613	20000.0
76	76.141	103.442	13.272	68.4	0.981	0.61	50000.0
77	76.096	103.671	13.229	68.406	0.984	0.609	30000.0
78	76.747	104.002	13.367	68.757	0.984	0.604	30000.0
79	76.319	103.716	13.347	68.554	0.99	0.606	60000.0
80	76.769	104.436	13.446	68.521	0.987	0.612	20000.0
81	76.963	104.713	13.473	68.749	0.992	0.609	40000.0
82	75.74	103.316	13.133	68.394	0.983	0.608	30000.0
83	76.467	103.829	13.292	68.545	0.982	0.607	30000.0
84	76.067	103.831	12.929	67.747	0.989	0.618	20000.0
