NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4.774	176.408	1.836	94.257	2.727	0.294	30000.0
2	4.9	177.465	1.856	94.533	2.74	0.289	30000.0
3	4.791	176.711	1.842	94.135	2.724	0.288	20000.0
4	4.835	176.481	1.831	94.281	2.72	0.281	20000.0
5	4.754	175.905	1.827	94.02	2.706	0.302	20000.0
6	4.935	178.214	1.847	94.841	2.779	0.273	40000.0
7	4.815	176.79	1.826	94.248	2.699	0.289	30000.0
8	4.988	179.174	1.85	94.975	2.742	0.27	20000.0
9	4.847	176.209	1.829	93.975	2.709	0.304	40000.0
10	4.9	177.934	1.857	94.638	2.719	0.282	40000.0
11	4.892	176.324	1.834	94.367	2.725	0.288	20000.0
12	4.764	175.894	1.84	93.999	2.73	0.299	20000.0
13	4.739	175.708	1.813	93.871	2.721	0.298	20000.0
14	4.806	175.651	1.811	94.009	2.723	0.298	20000.0
15	4.796	175.473	1.831	94.034	2.701	0.303	20000.0
16	4.854	176.566	1.842	94.272	2.682	0.293	30000.0
17	4.828	176.28	1.834	94.115	2.724	0.297	20000.0
18	4.913	176.198	1.848	94.038	2.731	0.302	20000.0
19	4.857	176.607	1.82	94.118	2.749	0.297	20000.0
20	4.788	176.823	1.814	94.374	2.736	0.289	20000.0
21	4.811	176.008	1.848	93.958	2.744	0.302	20000.0
22	4.73	174.801	1.801	93.711	2.7	0.308	20000.0
23	4.918	176.622	1.857	94.376	2.76	0.291	20000.0
24	4.789	175.29	1.809	93.914	2.695	0.303	30000.0
25	4.871	175.397	1.836	94.154	2.692	0.297	20000.0
26	4.916	177.044	1.868	94.452	2.742	0.29	30000.0
27	4.759	175.494	1.815	93.925	2.7	0.302	20000.0
28	4.832	175.929	1.842	93.918	2.708	0.304	20000.0
29	4.962	177.364	1.848	94.528	2.729	0.289	40000.0
30	4.859	176.523	1.839	94.446	2.729	0.288	20000.0
31	4.724	175.078	1.806	93.74	2.709	0.309	40000.0
32	4.766	176.256	1.819	94.095	2.72	0.3	30000.0
33	4.833	176.812	1.808	94.242	2.733	0.291	40000.0
34	4.779	175.548	1.799	93.756	2.654	0.298	20000.0
35	4.749	176.166	1.81	93.969	2.733	0.299	20000.0
36	4.764	174.885	1.829	93.77	2.708	0.3	30000.0
37	4.864	175.515	1.839	94.085	2.733	0.3	30000.0
38	4.814	175.532	1.824	94.078	2.703	0.302	40000.0
39	4.801	175.349	1.816	93.611	2.681	0.309	30000.0
40	4.839	177.283	1.826	94.502	2.716	0.285	30000.0
41	4.728	175.289	1.809	93.915	2.719	0.301	30000.0
42	4.735	175.678	1.803	93.749	2.696	0.306	50000.0
43	4.958	177.036	1.85	94.626	2.719	0.288	20000.0
44	4.851	178.011	1.831	94.684	2.747	0.283	30000.0
45	4.855	177.134	1.858	94.315	2.692	0.285	20000.0
46	4.907	177.98	1.874	94.616	2.749	0.278	20000.0
47	4.788	177.072	1.804	94.209	2.733	0.293	40000.0
48	4.805	176.476	1.796	93.94	2.729	0.303	30000.0
49	4.998	177.031	1.845	94.737	2.721	0.277	20000.0
50	4.915	177.222	1.852	94.565	2.723	0.292	20000.0
51	4.953	177.054	1.852	94.515	2.729	0.281	20000.0
52	4.752	176.082	1.821	94.079	2.736	0.289	30000.0
53	4.807	176.658	1.815	94.229	2.727	0.294	20000.0
54	4.765	174.123	1.818	93.323	2.671	0.316	40000.0
55	4.878	177.421	1.864	94.558	2.716	0.282	40000.0
56	4.863	177.245	1.862	94.332	2.752	0.291	30000.0
57	4.83	175.705	1.828	93.972	2.713	0.3	20000.0
